Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Harry,Ron,Hermione,Hagrid,Minerva McGonagall,Voldemort,Professor Quirrell,Lily Potter,James Potter,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
1,Voldemort starts gaining followers,1970-07-07,1970-07-07,T,3rd Person,45,45,1990-07-31,1990-07-31,07-31-1990,07-31-1990,F,"Hagrid tells Harry about “this wizard, about twenty years ago now, started lookin’ fer followers” referring to Voldemort on Harry's 11th birthday (07/31/1990).",Voldemort,,,,,,T,,,,,,,
2,Harry Potter is born,1979-07-31,1979-07-31,F,3rd Person,19,19,1990-06-23,1990-06-23,1990-06-23,1990-06-23,F,"“Nearly 10 years had passed since the Dursleys had woken up to find their nephew on the front step”. Harry's 11th birthday takes place in 1990, making his birthday 1979.","Harry, James Potter, and Lily Potter",T,,,,,,,T,T,,,,
2,Harry Potter is born,1979-07-31,1979-07-31,F,3rd Person,36,36,1990-07-30,1990-07-30,1990-07-30,1990-07-30,F,"“then tomorrow, Tuesday, was Harry’s eleventh birthday.” ","Harry, James Potter, and Lily Potter",T,,,,,,,T,T,,,,
2,Harry Potter is born,1979-07-31,1979-07-31,F,3rd Person,44,44,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,Petunia refers to Lily and James' relationship. “Then she met that Potter at school and they left and got married and had you”,"Harry, James Potter, and Lily Potter",T,,,,,,,T,T,,,,
3,Voldemort murders The Potters,1980-10-31,1980-10-31,F,3rd Person,9,10,1980-10-31,1980-10-31,1980-10-31,1980-10-31,F,"“When Mr and Mrs Dursley woke up on the dull, grey Tuesday our story starts” when “You-Know-Who has gone at last”. ","Harry, James Potter, Lily Potter, and Voldemort",T,,,,,T,,T,T,,,,
3,Voldemort murders The Potters,1980-10-31,1980-10-31,F,3rd Person,14,15,1980-11-01,1980-11-01,1980-11-01,1980-11-01,F,“last night Voldemort turned up in Godric’s Hollow. He went to find the Potters. The rumour is that Lily and James Potter are – are – that they’re –dead.’” ,"Harry, James Potter, Lily Potter, and Voldemort",T,,,,,T,,T,T,,,,
3,Voldemort murders The Potters,1980-10-31,1980-10-31,F,3rd Person,17,17,1980-11-01,1980-11-01,1980-11-01,1980-11-01,F,“Lily an’ James dead – an’ poor little Harry off ter live with Muggles”,"Harry, James Potter, Lily Potter, and Voldemort",T,,,,,T,,T,T,,,,
3,Voldemort murders The Potters,1980-10-31,1980-10-31,F,3rd Person,27,27,1980-06-23,1980-06-23,1980-06-23,1980-06-23,F,"“ a blinding flash of green light and a burning pain on his forehead. This, he supposed, was the crash, though he couldn’t imagine where all the green light came from.”","Harry, James Potter, Lily Potter, and Voldemort",T,,,,,T,,T,T,,,,
3,Voldemort murders The Potters,1980-10-31,1980-10-31,F,3rd Person,44,45,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,"“she went and got herself blown up and we got landed with you!’” and “he turned up in the village where you was all living, on Hallowe’en ten years ago. You was just a year old.”","Harry, James Potter, Lily Potter, and Voldemort",T,,,,,T,,T,T,,,,
3,Voldemort murders The Potters,1980-10-31,1980-10-31,F,3rd Person,213,213,1991-06-04,1991-06-04,1991-06-04,1991-06-04,F,“‘Better save your own life and join me ... or you’ll meet the same end as your parents ... They died begging me for mercy ...’”,"Harry, James Potter, Lily Potter, and Voldemort",T,,,,,T,,T,T,,,,
4,Harry Potter arrives at Dursleys,1980-11-01,1980-11-01,F,3rd Person,12,12,1980-11-01,1980-11-01,1980-11-01,1980-11-01,F,"Harry arrives shortly after midnight (“In fact, it was nearly midnight before the cat moved at all”) on Halloween, effectively making it so that he arrives November 1. ",Hagrid and Harry,T,,,T,,,,,,,,,
4,Harry Potter arrives at Dursleys,1980-11-01,1980-11-01,F,3rd Person,17,18,1980-11-01,1980-11-01,1980-11-01,1980-11-01,F,"Harry arrives shortly after midnight (“In fact, it was nearly midnight before the cat moved at all”) on Halloween, effectively making it so that he arrives November 1. ",Hagrid and Harry,T,,,T,,,,,,,,,
4,Harry Potter arrives at Dursleys,1980-11-01,1980-11-01,F,3rd Person,46,46,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,"Harry arrives shortly after midnight (“In fact, it was nearly midnight before the cat moved at all”) on Halloween, effectively making it so that he arrives November 1. ",Hagrid and Harry,T,,,T,,,,,,,,,
5,Professor Quirrell starts teaching at Hogwarts,1988-09-01,1988-09-01,T,3rd Person,211,211,1991-06-04,1991-06-04,1991-06-04,1991-06-04,T,"Professor Quirrell teaches Muggle Studies for a year at Hogwarts, then takes a year off to study in Albania. It is inferred that he met Voldemort during this year. ""‘He is with me wherever I go,’ said Quirrell quietly. ‘I met him when I travelled around the world.""",Professor Quirrell,,,,,,,T,,,,,,
6,Professor Quirrell meets Voldemort,1989-07-02,1989-07-02,T,3rd Person,211,211,1991-06-04,1991-06-04,1991-06-04,1991-06-04,T,"Professor Quirrell teaches Muggle Studies for a year at Hogwarts, then takes a year off to study in Albania. It is inferred that he met Voldemort during this year. ""‘He is with me wherever I go,’ said Quirrell quietly. ‘I met him when I travelled around the world.""",Professor Quirrell and Voldemort,,,,,,T,T,,,,,,
