Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Caddy,Quentin,Benjy,Jason,Dilsey,Quentin Jr.
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,12,12,4-7-1928,4-7-1928,3,75,F,"Cry baby, Luster said.",F,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,F,Benjamin Compson,13,13,1928-04-07,1928-04-07,3,75,F,"""We can come back...""",T,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,F,Benjamin Compson,14,14,1928-04-07,1928-04-07,3,75,F,...reaching her hand.,T,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,14,14,4-7-1928,4-7-1928,3,75,F,"""They aint nothing...""",F,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,15,15,4-7-1928,4-7-1928,3,75,F,"""Come on here.""",F,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,16,16,4-7-1928,4-7-1928,3,75,F,Luster got into the...,F,F,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,17,17,1928-04-07,1928-04-07,3,75,F,...and Roskus came...,T,T,T,T,T,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,17,17,4-7-1928,4-7-1928,3,75,F,...been at it all morning...,F,F,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,18,18,1928-04-07,1928-04-07,3,75,F,"""I'm going to school...""",T,T,T,T,T,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,19,19,1928-04-07,1928-04-07,3,75,F,"""Now I guess...""",T,T,T,T,T,F
5,Benjy's pasture is sold,1909-05-01,1909-05-01,T,Benjamin Compson,19,19,1928-04-07,1928-04-07,3,75,F,...own this pasture...,F,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,19,19,4-7-1928,4-7-1928,3,75,F,What is the matter...,F,F,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,20,20,1928-04-07,1928-04-07,3,75,F,"""Are you going to...""",T,T,T,T,T,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Benjamin Compson,20,20,1928-04-07,1928-04-07,3,75,F,"""Go on.""",T,T,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,20,20,4-7-1928,4-7-1928,3,75,F,See you all at the show...,F,F,T,F,F,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Benjamin Compson,21,21,1928-04-07,1928-04-07,3,75,F,"""...the wedding.""",T,T,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,22,22,1928-04-07,1928-04-07,3,75,F,At the top of the hill...,T,T,T,T,T,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Benjamin Compson,22,22,1928-04-07,1928-04-07,3,75,F,"""Anywhere.""",T,T,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,23,23,1928-04-07,1928-04-07,3,75,F,"""He'll make a wart...""",T,T,T,T,T,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,24,24,1928-04-07,1928-04-07,3,75,F,"""They did.""",T,T,T,T,T,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,25,25,1928-04-07,1928-04-07,3,75,F,"""You all hush, now.""",T,T,T,T,T,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,26,26,1928-04-07,1928-04-07,3,75,F,"""It was somebody...""",T,T,T,T,T,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,27,27,1928-04-07,1928-04-07,3,75,F,"""I'm going to tell...""",T,T,T,T,T,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,28,28,1928-04-07,1928-04-07,3,75,F,"""I expect...""",T,T,T,T,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,29,29,1928-04-07,1928-04-07,3,75,F,...changed his name...,T,F,T,F,T,F
22,Quentin commits suicide,1910-06-02,1910-06-02,F,Benjamin Compson,29,29,1928-04-07,1918-04-07,3,75,F,...flat-iron...,F,T,F,F,F,F
26,Father's death,1912-03-01,1912-03-01,T,Benjamin Compson,29,29,1928-04-07,1928-04-07,3,75,F,Taint no luck...,F,F,T,T,T,T
26,Father's death,1912-03-01,1912-03-01,T,Benjamin Compson,30,30,1928-04-07,1928-04-07,3,75,F,Take him and Quentin...,F,F,T,T,T,T
26,Father's death,1912-03-01,1912-03-01,T,Benjamin Compson,31,31,1928-04-07,1928-04-07,3,75,F,They were singing.,F,F,T,T,T,T
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,32,32,1928-04-07,1928-04-07,3,75,F,Frony and T.P...,T,T,T,T,T,F
26,Father's death,1912-03-01,1912-03-01,T,Benjamin Compson,32,32,1928-04-07,1928-04-07,3,75,F,We looked around...,F,F,T,T,T,T
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,32,32,4-7-1928,4-7-1928,3,75,F,"Come on, Luster said...",F,F,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,33,33,1928-04-07,1928-04-07,3,75,F,"""They will if I say so...""",T,T,T,T,T,F
30,Roskus dies,1915-07-01,1915-07-01,T,Benjamin Compson,33,33,1928-04-07,1928-04-07,3,75,F,Dilsey was moaning.,F,F,T,F,T,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,35,35,1928-04-07,1928-04-07,3,75,F,"""Do you think...""",T,T,T,T,T,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,35,35,4-7-1928,4-7-1928,3,75,F,I had it when we...,F,F,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,36,36,1928-04-07,1928-04-07,3,75,F,"""You're a skizzard.""",T,T,T,T,T,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,37,37,1928-04-07,1928-04-07,3,75,F,"""If I say you don't...""",T,T,T,T,T,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Benjamin Compson,37,37,1928-04-07,1928-04-07,3,75,F,When we looked...,T,T,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,38,38,1928-04-07,1928-04-07,3,75,F,We stopped under...,T,T,T,T,T,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Benjamin Compson,38,38,1928-04-07,1928-04-07,3,75,F,It tickled my nose...,T,T,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,39,39,1928-04-07,1928-04-07,3,75,F,"""How do you know.""",T,T,T,T,T,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Benjamin Compson,39,39,1928-04-07,1928-04-07,3,75,F,I saw them,T,T,T,F,F,F
3,Caddy wears perfume,1906-07-01,1906-07-01,T,Benjamin Compson,40,40,1928-04-07,1928-04-07,3,75,F,"Benjy, Caddy said...",T,F,T,T,T,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Benjamin Compson,40,40,1928-04-07,1928-04-07,3,75,F,The moonlight...,T,T,T,F,F,F
3,Caddy wears perfume,1906-07-01,1906-07-01,T,Benjamin Compson,41,41,1928-04-07,1928-04-07,3,75,F,"""He don't like that...""",T,F,T,T,T,F
3,Caddy wears perfume,1906-07-01,1906-07-01,T,Benjamin Compson,42,42,1928-04-07,1928-04-07,3,75,F,"""Take him downstairs...""",T,F,T,T,T,F
3,Caddy wears perfume,1906-07-01,1906-07-01,T,Benjamin Compson,43,43,1928-04-07,1928-04-07,3,75,F,...Dilsey took the bottle.,T,F,T,T,T,F
4,Patterson Affair,1908-08-01,1908-08-01,F,Benjamin Compson,43,43,1928-04-07,1928-04-07,3,75,F,She smelled like trees.,T,F,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,44,44,1928-04-07,1928-04-07,3,75,F,Caddy smelled like trees.,T,T,T,T,T,F
4,Patterson Affair,1908-08-01,1908-08-01,F,Benjamin Compson,44,44,1928-04-07,1928-04-07,3,75,F,"""Et ego in arcadia...""",T,F,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,45,45,1928-04-07,1928-04-07,3,75,F,We looked up into the...,T,T,T,T,T,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,46,46,1928-04-07,1928-04-07,3,75,F,"""Quentin's mad...""",T,T,T,T,T,F
6,Caddy and Charlie have sex,1909-07-01,1909-07-01,T,Benjamin Compson,46,46,1928-04-07,1928-04-07,3,75,F,The kitchen was dark.,T,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,46,46,4-7-1928,4-7-1928,3,75,F,Where you want to go...,F,F,T,F,F,F
39,Benjy sees Quentin and man w/ red tie,1928-04-07,1928-04-07,F,Benjamin Compson,46,46,4-7-1928,4-7-1928,3,75,F,Quentin annd her beau,F,F,T,F,F,T
6,Caddy and Charlie have sex,1909-07-01,1909-07-01,T,Benjamin Compson,47,47,1928-04-07,1928-04-07,3,75,F,It was two now...,T,F,T,F,F,F
6,Caddy and Charlie have sex,1909-07-01,1909-07-01,T,Benjamin Compson,48,48,1928-04-07,1928-04-07,3,75,F,"""I'll have to take him...""",T,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,48,48,4-7-1928,4-7-1928,3,75,F,I kept a telling you...,F,F,T,F,F,F
39,Benjy sees Quentin and man w/ red tie,1928-04-07,1928-04-07,F,Benjamin Compson,48,48,4-7-1928,4-7-1928,3,75,F,He had a red tie.,F,F,T,F,F,T
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,49,49,4-7-1928,4-7-1928,3,75,F,"""Shut your mouth.""",F,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,50,50,4-7-1928,4-7-1928,3,75,F,"""You aint talking to me.""",F,F,T,F,F,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Benjamin Compson,51,51,1928-04-07,1928-04-07,3,75,F,...looked at the house.,T,T,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,51,51,4-7-1928,4-7-1928,3,75,F,...looked at the house.,F,F,T,F,F,F
14,Benjy assaults Burgess girl,1910-04-25,1910-04-25,F,Benjamin Compson,52,52,1928-04-07,1928-04-07,3,75,F,How did he get out,T,F,T,T,F,F
14,Benjy assaults Burgess girl,1910-04-25,1910-04-25,F,Benjamin Compson,53,53,1928-04-07,1928-04-07,3,75,F,They came on in the...,T,F,T,T,F,F
15,Benjy is castrated,1910-04-25,1910-04-25,F,Benjamin Compson,53,53,1928-04-07,1928-04-07,3,75,F,and the bright shapes,F,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,53,53,4-7-1928,4-7-1928,3,75,F,"Here, looney, Luster said.",F,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,54,54,4-7-1928,4-7-1928,3,75,F,"""I got that show...""",F,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,F,Benjamin Compson,55,55,4-7-1928,4-7-1928,3,75,F,I tried to pick up the flowers.,F,F,T,F,F,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,56,56,1928-04-07,1928-04-07,3,75,F,...his new name...,T,F,T,F,T,F
40,Luster and Benjy celebrate Benjy's birthday,1928-04-07,1928-04-07,F,Benjamin Compson,56,56,4-7-1928,4-7-1928,3,75,F,"""She set the cake...""",F,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,57,57,1928-04-07,1928-04-07,3,75,F,I could hear the clock...,T,F,T,F,T,F
40,Luster and Benjy celebrate Benjy's birthday,1928-04-07,1928-04-07,F,Benjamin Compson,57,57,4-7-1928,4-7-1928,3,75,F,...and eat this cake...,F,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,58,58,1928-04-07,1928-04-07,3,75,F,That's right...,T,F,T,F,T,F
40,Luster and Benjy celebrate Benjy's birthday,1928-04-07,1928-04-07,F,Benjamin Compson,58,58,4-7-1928,4-7-1928,3,75,F,...another piece of cake.,F,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,61,61,1928-04-07,1928-04-07,3,75,F,Your name is Benjy...,T,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,62,62,1928-04-07,1928-04-07,3,75,F,We could her the roof...,T,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,63,63,1928-04-07,1928-04-07,3,75,F,"""Candace.""",T,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,64,64,1928-04-07,1928-04-07,3,75,F,It was bad enough...,T,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,65,65,1928-04-07,1928-04-07,3,75,F,...but we could see...,T,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,66,66,1928-04-07,1928-04-07,3,75,F,You can look at the fire...,T,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,68,68,1928-04-07,1928-04-07,3,75,F,"Disley said, All right.",T,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,69,69,1928-04-07,1928-04-07,3,75,F,Your name Benjamin...,T,F,T,F,T,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Benjamin Compson,70,70,1928-04-07,1928-04-07,3,75,F,...your name Benjamin...,T,F,T,F,T,F
41,Quentin Jr. runs away,1928-04-07,1928-04-07,F,Benjamin Compson,72,72,4-7-1928,4-7-1928,3,75,F,She smelled like trees,F,F,T,F,F,T
41,Quentin Jr. runs away,1928-04-07,1928-04-07,F,Benjamin Compson,74,74,4-7-1928,4-7-1928,3,75,F,...it came out...,F,F,T,F,F,T
10,Quentin admits to incest,1909-08-31,1909-08-31,T,Quentin Compson III,77,77,1910-06-02,1910-06-02,76,179,F,I have committed incest,T,T,F,F,F,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Quentin Compson III,77,77,1910-06-02,1910-06-02,76,179,F,...the marriage of.,T,T,T,F,F,F
7,Quentin sees Caddy and Dalton,1909-08-15,1909-08-15,T,Quentin Compson III,79,79,1910-06-02,1910-06-02,76,179,F,Dalton Ames.,T,T,F,F,F,F
9,Quentin confronts Dalton,1909-08-17,1909-08-17,T,Quentin Compson III,79,79,1910-06-02,1910-06-02,76,179,F,...the pistol...,F,T,F,F,F,F
10,Quentin admits to incest,1909-08-31,1909-08-31,T,Quentin Compson III,79,79,1910-06-02,1910-06-02,76,179,F,I have committed incest,T,T,F,F,F,F
7,Quentin sees Caddy and Dalton,1909-08-15,1909-08-15,T,Quentin Compson III,80,80,1910-06-02,1910-06-02,76,179,F,Dalton Ames.,T,T,F,F,F,F
9,Quentin confronts Dalton,1909-08-17,1909-08-17,T,Quentin Compson III,80,80,1910-06-02,1910-06-02,76,179,F,Dalton Ames.,F,T,F,F,F,F
16,Quentin breaks his watch,1910-06-02,1910-06-02,F,Quentin Compson III,80,80,1910-06-02,1910-06-02,76,179,F,took up the watch,F,T,F,F,F,F
22,Quentin commits suicide,1910-06-02,1910-06-02,F,Quentin Compson III,80,80,1910-06-02,1910-06-02,76,179,F,...only the flat-iron...,F,T,F,F,F,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Quentin Compson III,81,81,1910-06-02,1910-06-02,76,179,F,...clutching her bridal...,T,T,T,F,F,F
17,Quentin mails suicide note to Father,1910-06-02,1910-06-02,F,Quentin Compson III,82,82,1910-06-02,1910-06-02,76,179,F,the one to Father,F,T,F,F,F,F
16,Quentin breaks his watch,1910-06-02,1910-06-02,F,Quentin Compson III,84,84,1910-06-02,1910-06-02,76,179,F,"""I broke my watch.""",F,T,F,F,F,F
2,Benjy's name change,1900-08-01,1900-08-01,T,Quentin Compson III,89,89,1910-06-02,1910-06-02,76,179,F,...that new name...,T,F,T,F,T,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Quentin Compson III,90,90,1910-06-02,1910-06-02,76,179,F,...Damuddy died.,T,T,T,T,T,F
7,Quentin sees Caddy and Dalton,1909-08-15,1909-08-15,T,Quentin Compson III,92,92,1910-06-02,1910-06-02,76,179,F,Dalton Ames.,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,92,92,1910-06-02,1910-06-02,76,179,F,Why won't you bring...,T,T,F,F,F,F
9,Quentin confronts Dalton,1909-08-17,1909-08-17,T,Quentin Compson III,92,92,1910-06-02,1910-06-02,76,179,F,Did you ever...?,F,T,F,F,F,F
11,Herbert offers Jason a job,1910-03-01,1910-03-01,T,Quentin Compson III,93,93,1910-06-02,1910-06-02,76,179,F,...promised Jason,T,T,F,T,F,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Quentin Compson III,93,93,1910-06-02,1910-06-02,76,179,F,Mr and Mrs Jason...,T,T,T,F,F,F
5,Benjy's pasture is sold,1909-05-01,1909-05-01,T,Quentin Compson III,94,94,1910-06-02,1910-06-02,76,179,F,...sold Benjy's pasture...,F,F,T,F,F,F
11,Herbert offers Jason a job,1910-03-01,1910-03-01,T,Quentin Compson III,94,94,1910-06-02,1910-06-02,76,179,F,...a splendid banker...,T,T,F,T,F,F
10,Quentin admits to incest,1909-08-31,1909-08-31,T,Quentin Compson III,95,95,1910-06-02,1910-06-02,76,179,F,I have committed,T,T,F,F,F,F
7,Quentin sees Caddy and Dalton,1909-08-15,1909-08-15,T,Quentin Compson III,96,96,1910-06-02,1910-06-02,76,179,F,my daughter spied on,T,T,F,F,F,F
18,Quentin gives suicide note to Deacon,1910-06-02,1910-06-02,F,Quentin Compson III,99,99,1910-06-02,1910-06-02,76,179,F,I took the letter,F,T,F,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Quentin Compson III,100,100,1910-06-02,1910-06-02,76,179,F,Jason ran... (see R&P),T,T,T,T,T,F
13,Caddy and Herbert's wedding,1910-04-25,1910-04-25,F,Quentin Compson III,100,100,1910-06-02,1910-06-02,76,179,F,Lying on the ground...,T,T,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Quentin Compson III,101,101,1910-06-02,1910-06-02,76,179,F,"...on, his hands... (R&P)",T,T,T,T,T,F
5,Benjy's pasture is sold,1909-05-01,1909-05-01,T,Quentin Compson III,102,102,1910-06-02,1910-06-02,76,179,F,...sold Benjy's pasture...,F,F,T,F,F,F
7,Quentin sees Caddy and Dalton,1909-08-15,1909-08-15,T,Quentin Compson III,105,105,1910-06-02,1910-06-02,76,179,F,Dalton Ames.,T,T,F,F,F,F
12,Quentin confronts Herbert,1910-04-24,1910-04-24,F,Quentin Compson III,107,107,1910-06-02,1910-06-02,76,179,F,I saw you...,T,T,F,F,F,F
12,Quentin confronts Herbert,1910-04-24,1910-04-24,F,Quentin Compson III,108,108,1910-06-02,1910-06-02,76,179,F,...brother she kept...,T,T,F,F,F,F
12,Quentin confronts Herbert,1910-04-24,1910-04-24,F,Quentin Compson III,109,109,1910-06-02,1910-06-02,76,179,F,mother to do...,T,T,F,F,F,F
12,Quentin confronts Herbert,1910-04-24,1910-04-24,F,Quentin Compson III,110,110,1910-06-02,1910-06-02,76,179,F,thing and be damned...,T,T,F,F,F,F
12,Quentin confronts Herbert,1910-04-24,1910-04-24,F,Quentin Compson III,111,111,1910-06-02,1910-06-02,76,179,F,you around while...,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,112,112,1910-06-02,1910-06-02,76,179,F,Caddy,T,T,F,F,F,F
12,Quentin confronts Herbert,1910-04-24,1910-04-24,F,Quentin Compson III,112,112,1910-06-02,1910-06-02,76,179,F,Quentin has shot...,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,113,113,1910-06-02,1910-06-02,76,179,F,You've got fever...,T,T,F,F,F,F
22,Quentin commits suicide,1910-06-02,1910-06-02,F,Quentin Compson III,116,116,1910-06-02,1910-06-02,76,179,F,...the flat-irons would...,F,T,F,F,F,F
12,Quentin confronts Herbert,1910-04-24,1910-04-24,F,Quentin Compson III,123,123,1910-06-02,1910-06-02,76,179,F,...pick a fight with him...,T,T,F,F,F,F
5,Benjy's pasture is sold,1909-05-01,1909-05-01,T,Quentin Compson III,124,124,1910-06-02,1910-06-02,76,179,F,...sold the pasture...,F,F,T,F,F,F
19,Quentin finds little girl,1910-06-02,1910-06-02,F,Quentin Compson III,125,125,1910-06-02,1910-06-02,76,179,F,a little dirty child,F,T,F,F,F,F
6,Caddy and Charlie have sex,1909-07-01,1909-07-01,T,Quentin Compson III,129,129,1910-06-02,1910-06-02,76,179,F,She would have told...,T,F,T,F,F,F
20,Quentin is arrested,1910-06-02,1910-06-02,F,Quentin Compson III,139,139,1910-06-02,1910-06-02,76,179,F,The man...,F,T,F,F,F,F
20,Quentin is arrested,1910-06-02,1910-06-02,F,Quentin Compson III,140,140,1910-06-02,1910-06-02,76,179,F,"""...handcuff you?""",F,T,F,F,F,F
20,Quentin is arrested,1910-06-02,1910-06-02,F,Quentin Compson III,141,141,1910-06-02,1910-06-02,76,179,F,We followed the path...,F,T,F,F,F,F
20,Quentin is arrested,1910-06-02,1910-06-02,F,Quentin Compson III,142,142,1910-06-02,1910-06-02,76,179,F,"""...an officer of the law...""",F,T,F,F,F,F
20,Quentin is arrested,1910-06-02,1910-06-02,F,Quentin Compson III,143,143,1910-06-02,1910-06-02,76,179,F,"""Order in the court.""",F,T,F,F,F,F
20,Quentin is arrested,1910-06-02,1910-06-02,F,Quentin Compson III,144,144,1910-06-02,1910-06-02,76,179,F,"""Was she scared...?""",F,T,F,F,F,F
20,Quentin is arrested,1910-06-02,1910-06-02,F,Quentin Compson III,145,145,1910-06-02,1910-06-02,76,179,F,"""Six dollars...""",F,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,147,147,1910-06-02,1910-06-02,76,179,F,...ever do that...,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,148,148,1910-06-02,1910-06-02,76,179,F,...ever done that...,T,T,F,F,F,F
10,Quentin admits to incest,1909-08-31,1909-08-31,T,Quentin Compson III,148,148,1910-06-02,1910-06-02,76,179,F,I have committed,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,149,149,1910-06-02,1910-06-02,76,179,F,Ill make you say we did,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,150,150,1910-06-02,1910-06-02,76,179,F,did he make you...,T,T,F,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Quentin Compson III,151,151,1910-06-02,1910-06-02,76,179,F,...damuddy died...,T,T,T,T,T,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,151,151,1910-06-02,1910-06-02,76,179,F,...nobody ever need know...,T,T,F,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Quentin Compson III,152,152,1910-06-02,1910-06-02,76,179,F,...drawers were muddy...,T,T,T,T,T,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,152,152,1910-06-02,1910-06-02,76,179,F,I held the knife...,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,153,153,1910-06-02,1910-06-02,76,179,F,what time is it,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,154,154,1910-06-02,1910-06-02,76,179,F,come on,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,155,155,1910-06-02,1910-06-02,76,179,F,whatre you going to do...,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,156,156,1910-06-02,1910-06-02,76,179,F,its late you go on home,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,157,157,1910-06-02,1910-06-02,76,179,F,you shut up shut up,T,T,F,F,F,F
8,Quentin confronts Caddy,1909-08-16,1909-08-16,T,Quentin Compson III,158,158,1910-06-02,1910-06-02,76,179,F,you shut up you shut up...,T,T,F,F,F,F
9,Quentin confronts Dalton,1909-08-17,1909-08-17,T,Quentin Compson III,158,158,1910-06-02,1910-06-02,76,179,F,Ive been looking for you...,F,T,F,F,F,F
9,Quentin confronts Dalton,1909-08-17,1909-08-17,T,Quentin Compson III,159,159,1910-06-02,1910-06-02,76,179,F,she need my for anything now,F,T,F,F,F,F
